sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
63,13.48288,F0,normal_operation,11.153638,11.483951,13.48288,0.953079,-6.085044,-0.268817,3.255132,95.845552,-2.716981,2.329241
64,12.313061,F0,normal_operation,10.49506,11.401305,12.313061,1.001955,-5.987292,-0.171065,5.063539,93.132942,-2.776699,1.818001
65,13.063774,F0,normal_operation,10.577242,11.401305,13.063774,1.001955,-5.987292,-0.317693,6.329423,130.386119,-2.776699,2.486532
66,12.396252,F0,normal_operation,10.659462,11.483951,12.396252,1.050831,-5.987292,-0.317693,8.861193,92.228739,-2.823529,1.73679
67,14.665029,F0,normal_operation,10.577242,11.401305,14.665029,1.050831,-5.987292,-0.268817,7.595308,92.228739,-2.823529,4.087787
68,12.313061,F0,normal_operation,10.577242,10.412917,12.313061,1.099707,-5.938416,-0.268817,7.595308,90.420332,-2.88,1.900144
69,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,1.050831,-5.938416,-0.219941,9.946237,127.85435,-2.831683,1.653599
70,12.396252,F0,normal_operation,10.659462,11.236149,12.396252,0.953079,-5.791789,-0.171065,7.956989,90.420332,-2.76,1.73679
71,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-5.938416,-0.219941,6.329423,129.120235,-2.784314,1.81901
72,12.313061,F0,normal_operation,10.659462,11.649381,12.313061,1.050831,-5.987292,-0.464321,12.658847,92.228739,-2.823529,1.653599
73,12.313061,F0,normal_operation,10.741722,11.401305,12.313061,1.001955,-5.987292,-0.171065,6.510264,55.879765,-2.776699,1.571339
74,12.313061,F0,normal_operation,10.659462,11.401305,12.313061,0.953079,-6.036168,-0.171065,7.956989,94.941349,-2.72381,1.653599
75,12.313061,F0,normal_operation,10.49506,11.483951,12.313061,0.904203,-6.13392,-0.268817,9.765396,97.653959,-2.666667,1.818001
76,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-6.036168,-0.268817,9.765396,56.422287,-2.769231,1.81901
77,12.980133,F0,normal_operation,10.824022,11.401305,12.980133,1.099707,-6.13392,-0.268817,7.595308,94.037146,-2.846154,2.156111
78,12.313061,F0,normal_operation,10.577242,11.401305,12.313061,0.953079,-6.085044,-0.171065,6.510264,95.845552,-2.716981,1.735819
79,12.813028,F0,normal_operation,11.649381,11.401305,12.813028,1.001955,-6.036168,-0.317693,16.4565,56.422287,-2.769231,1.411723
80,12.313061,F0,normal_operation,10.659462,11.483951,12.313061,1.001955,-5.987292,-0.219941,9.946237,93.132942,-2.776699,1.653599
81,13.650957,F0,normal_operation,10.084713,11.401305,13.650957,1.148583,-5.889541,-0.268817,5.42522,53.167155,-2.938776,3.566244
82,12.313061,F0,normal_operation,10.577242,10.741722,12.313061,1.099707,-5.840665,-0.268817,7.595308,88.611926,-2.897959,1.735819
83,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,0.953079,-5.938416,-0.219941,8.13783,55.879765,-2.737864,1.73679
84,12.313061,F0,normal_operation,10.659462,11.318705,12.313061,1.001955,-5.987292,-0.317693,8.861193,93.132942,-2.776699,1.653599
85,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.099707,-6.036168,-0.268817,11.935484,92.228739,-2.862745,1.81901
86,12.396252,F0,normal_operation,10.577242,11.566642,12.396252,1.001955,-5.987292,-0.12219,5.967742,93.132942,-2.776699,1.81901
87,12.313061,F0,normal_operation,10.741722,11.483951,12.313061,1.050831,-6.085044,-0.219941,8.13783,94.037146,-2.807692,1.571339
88,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.099707,-6.13392,-0.12219,5.967742,131.652004,-2.846154,1.73679
89,12.313061,F0,normal_operation,10.49506,11.401305,12.313061,1.001955,-6.085044,-0.171065,3.616813,56.964809,-2.761905,1.818001
